u,mode_n1,mode_n3,mode_n4,mode_n6,mode_n7,mode_n11
0.893223,2.23941157e-03,2.00302538e-02,-1.27001261e-02,1.74828804e-02,2.05132684e-02,-2.99933164e-03
0.894224,2.23766156e-03,1.99829008e-02,-1.27502367e-02,1.74102492e-02,2.05715352e-02,-2.90336815e-03
0.895224,2.23711438e-03,1.99345985e-02,-1.28031209e-02,1.73329412e-02,2.06265161e-02,-2.80482464e-03
0.896224,2.23783315e-03,1.98852924e-02,-1.28586791e-02,1.72509890e-02,2.06781296e-02,-2.70383675e-03
0.897224,2.23991387e-03,1.98349017e-02,-1.29168808e-02,1.71643047e-02,2.07262097e-02,-2.60044934e-03
0.898225,2.24341360e-03,1.97833723e-02,-1.29776076e-02,1.70729328e-02,2.07706716e-02,-2.49479206e-03
0.899225,2.24840455e-03,1.97306325e-02,-1.30407537e-02,1.69768615e-02,2.08113623e-02,-2.38700125e-03
0.900225,2.25493340e-03,1.96766273e-02,-1.31061597e-02,1.68761578e-02,2.08481752e-02,-2.27726364e-03
0.901225,2.26305283e-03,1.96212957e-02,-1.31736769e-02,1.67708654e-02,2.08809863e-02,-2.16573646e-03
0.902226,2.27281179e-03,1.95645789e-02,-1.32431505e-02,1.66610363e-02,2.09096783e-02,-2.05256164e-03
0.903226,2.28424195e-03,1.95064293e-02,-1.33143993e-02,1.65467652e-02,2.09341628e-02,-1.93790158e-03
